Year,Disaster Type,Country,Location,Total Deaths,ISO
2012,Storm,Philippines (the),"Zambales district (Region III (Central Luzon) province), Mindoro Occidental district (Region IV (Southern Tagalog) province)",,PHL
2012,Storm,Philippines (the),Region XI (Davao Region) province,1901,PHL
2012,Epidemic,Philippines (the),"Catanduanes, Camarines Sur, Sorsogon, Albay, Camarines Norte, Masbate provinces (Bicol)",30,PHL
2012,Transport accident,Philippines (the),North Palawan Isl.,24,PHL
2012,Miscellaneous accident,Philippines (the),Butuan,18,PHL
2012,Miscellaneous accident,Qatar,Doha,19,QAT
2012,Flood,Saudi Arabia,"Asir, Baha, Hail, Jizan, Madinah, Makkah, Tabuk provinces",19,SAU
2012,Transport accident,Saudi Arabia,Ryad,23,SAU
2012,Miscellaneous accident,Saudi Arabia,Abqaiq (Oriental province),25,SAU
2012,Flood,Thailand,"Tak, Sukhothai, Phitsanulok, Phichit, Chainat, Ang Thong, Phra Nakhon Si Ayudhya, Suphanburi, Phachinburi, Sa Kaeo, Nakhon Pathom, Chonburi, Rayong, Chachoengsao, Chaiyaphum provinces",,THA
2012,Industrial accident,Thailand,Map Ta Phut,12,THA
2012,Drought,Thailand,"Lampang, Kamphaeng Phet, Nan, Phayao, Chiang Mai, Sukhothai (Northern provinces); Nong Khai, Si Sa Ket, Khon Kaen, Maha Sarakham, Udon Thani, Chaiyaphum (NorthEast provinces); Phetchaburi, Kanchanaburi, Prachuap Khiri Khan, Chon Buri, Nakhon Nayok, Suphan Buri, Chanthaburi, Chachoengsao, Trat, Phuket provinces. 17 are in the North, 19 in the Northeast, 5 in the central region, 6 in the East and 1 in the South.",,THA
2012,Earthquake,Tajikistan,"Darbanskiy, Garmskiy, Tavildara districts (Tadzhikistan Territories province)",2,TJK
2012,Extreme temperature ,Tajikistan,"Khatlon, Sogd, Tadzhikistan Territories provinces",1,TJK
2012,Flood,Turkey,"Samsun, Canik areas (Merkez district, Samsun province)",13,TUR
2012,Transport accident,Turkey,,61,TUR
2012,Transport accident,Turkey,Black sea,13,TUR
2012,Miscellaneous accident,Turkey,Afyon,25,TUR
2012,Industrial accident,Turkey,Kozan,10,TUR
2012,Flood,Taiwan (Province of China),Taiwan Sheng province,6,TWN
2012,Storm,Taiwan (Province of China),Pingdong Shi area (Taiwan Sheng province),8,TWN
2012,Miscellaneous accident,Taiwan (Province of China),Tainan,12,TWN
2013,Storm,Japan,"Tookyoo, Saitama, Ibaraki, Totigi, Hokkaidoo, Tiba, Kagosima provinces",39,JPN
2013,Storm,Philippines (the),"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon), Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas) provinces",5,PHL
2013,Flood,Japan,"Simane, Yamaguti provinces",5,JPN
2013,Flood,Nepal,"Kathmandu area (Bagmati district, Central province), Sindhuli area (Janakpur district, Central province), Rautahat area (Narayani district, Central province), Dhankuta, Morang, Sunsari areas (Koshi district, Eastern province), Taplejung, Jhapa areas (Mechi district, Eastern province), Okhaldhunga, Saptari, Solukhumbu, Udayapur areas (Sagarmatha district, Eastern province), Baitadi, Dadeldhura, Darchula, Kanchanpur areas (Mahakali district, Far Western province), Achham, Bajhang, Doti, Kailali areas (Seti district, Far Western province), Bardiya, Dailekh areas (Bheri district, Mid Western province), Kalikot, Humla areas (Karnali district, Mid Western province), Dang, Pyuthan, Rolpa areas (Rapti district, Mid Western province), Nawalparasi area (Lumbini district, Western province), Mustang area (Dhawalagiri district, Western province)",76,NPL
2013,Flood,Philippines (the),Region X (Northen Mindanao) province,10,PHL
2013,Flood,Philippines (the),"Region III (Central Luzon) province (Pampanga district (Lubao, Floridablanca, Minalin areas), Bulacan district (Meycauayan area), Nueva Ecija district (Mariveles, Bataan, Malolos City, Carranglan areas), Zambales district (Olongapo area), Tarlac, Bataan districts), Region IV-A (Calabarzon) province (Rizal district (Teresa, Binangonan areas), Cavite district (Imus, Bacoor, Kawit, Noveleta, Tanza areas), Quezon district (Sariaya area), Laguna district), Region IV province (Mindoro Occidental district), National Capital region (NCR) province (Metropolitan Manila district (Las Pinas, Caloocan, Valenzuela, Navotas, Malabon areas)), Region I (Ilocos region) province (Pagasinan district), Cordillera Administrative region (CAR) province (Mountain Province district (Bontoc, Sagada areas), Benguet district (Tuba area), Abra district)",31,PHL
2013,Flood,Philippines (the),"Region XIII (Caraga), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen) provinces ",11,PHL
2013,Flood,Korea (the Democratic People's Republic of),"Tongsin district (Chagang-do province), P'yongan-namdo, P'yongan-bukto, Kangwon-do, Hwanghae-bukto, Hamgyong-namdo provinces",51,PRK
2013,Flood,Saudi Arabia,Tabala area (Asir province),24,SAU
2013,Storm,Japan,"Aiti, Kyooto provinces",6,JPN
2013,Storm,Philippines (the),"Palawan, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Zamboanga Del Norte district (Region IX (Zamboanga Peninsula) province), Compostela, Davao del Norte districts (Region XI (Davao Region) province)",1,PHL
2013,Storm,Philippines (the),"Nueva Vizcaya district (Region II (Cagayan Valley) province), Pangasinan district (Region I (Ilocos region) province), Region III (Central Luzon) province",20,PHL
2013,Storm,Philippines (the),"Ilocos Norte district (Region I (Ilocos region) province), Cagayan district (Region II (Cagayan Valley) province), Apayao district (Cordillera Administrative region (CAR) province)",4,PHL
2013,Storm,"Palestine, State of","Al Khalil (Hebron), Al Quds (Jerusalem), Bethlehem, Jenin, Qalqiliya, Ramallah, Salfit, Tulkarm provinces (West Bank region), Rafah, Khan Yunis, Deir al Balah, Gaza, Jabalya provinces (Gaza Strip region)",1,PSE
2013,Storm,Philippines (the),"Samar, Leyte districts (Region VIII (Eastern Visayas) province), Cebu district (Region VII (Central Visayas) province), Iloilo, Capiz, Aklan districts (Region VI (Western Visayas) province), Palawan district (Region IV (Southern Tagalog) province)",7354,PHL
2013,Flood,Philippines (the),"Palawan district (Region IV province), ARMM, Region VI, Region VII, Region, VIII, Region IX, Region X, Region XI, Region XII, Region XIII provinces",20,PHL
2013,Transport accident,India,Uttarakhand,20,IND
2013,Transport accident,India,Jaheer (Punjab),11,IND
2013,Transport accident,India,Maharashtra state,32,IND
2013,Transport accident,India,Etah department (Uttar Pradesh state),19,IND
2013,Transport accident,India,North,33,IND
2013,Transport accident,India,Bawankera village (Chhattisgarth state),12,IND
2013,Transport accident,India,Between Bangalore and Hyderabad,44,IND
2013,Transport accident,India,Bengal,27,IND
2013,Transport accident,India,Bombay,18,IND
2013,Transport accident,India,Bihar state,37,IND
2013,Transport accident,India,Andhra Pradesh state,26,IND
2013,Miscellaneous accident,India,Bombay ,72,IND
2013,Miscellaneous accident,India,Datia district (Mahya Pradesh state),109,IND
2013,Miscellaneous accident,India,Calcutta,19,IND
2013,Flood,India,"Dhemaji, Tinsukia, Nagaon, Golaghat, Jorhat, Kamrup, Karimganj, Lakhimpur, Morigaon, Sibsaga, Bongaigaon, Kokrajhar districts (Assam province)",80,IND
2013,Earthquake,Iran (Islamic Republic of),"Shonbeh ,Kaki villages (Dashty district, Bushehr province), Baghan,Tasouj villages (Shiraz district, Fars province)",37,IRN
2013,Earthquake,Iran (Islamic Republic of),"Khash, Saravan districts (Sistan-o baluchestan province)",,IRN
2013,Earthquake,Iran (Islamic Republic of),"Borazjan city (Dashtestan district, Bushehr province)",8,IRN
2013,Transport accident,Iran (Islamic Republic of),,18,IRN
2013,Transport accident,Iran (Islamic Republic of),Qom-Teheran highway,49,IRN
2013,Transport accident,Iran (Islamic Republic of),Lorestan,16,IRN
2013,Flood,Iraq,"Nassriya district (Thi-Qar province), Diwaniya district (Qadissiya province), Hilla district (Babil province), Baghdad province",11,IRQ
2013,Storm,Israel,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv provinces",4,ISR
2013,Transport accident,Jordan,Adssiyeh region,17,JOR
2013,Storm,Japan,Kosigayasi district (Saitama province),,JPN
2013,Storm,Japan,Tookyoo province,2,JPN
2013,Storm,Japan,Hokkaidoo province,9,JPN
2013,Earthquake,Japan,Hyogo province,,JPN
2013,Storm,Japan,Kagosima province,1,JPN
2013,Storm,Japan,Okinawa province,,JPN
2013,Extreme temperature ,Japan,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)",338,JPN
2013,Miscellaneous accident,Japan,Fukuoka prefecture,10,JPN
2013,Transport accident,Kazakhstan,Almaty,21,KAZ
2013,Flood,Cambodia,"Battambang, Banteay Meanchey, Kampong Cham, Prey Veng, Kandal, Siem Reap, Kratie, Kampong Thom, Otdar Meanchey, Stung Treng, Pursat, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Svay Rieng, Phnom Penh, Takeo, Pailin, Kampot provinces",200,KHM
2013,Flood,Lao People's Democratic Republic (the),"Xay, Beng districts (Oudomxai province), Khop, Xienghone, Ngeun, Xayabury districts (Xaignabouli province), Bolikhanh, Paksane, Pakkading, Thaphabath districts (Bolikhamxai province), Nakai, Mahaxay, Nongbok, Xebangfay, Hinboon districts (Khammuan province), Pek, Kham, Thathom districts (Xiangkhouang province), Kasy, Feuang, Mad, Hom districts (Vientiane province)",20,LAO
2013,Flood,Lao People's Democratic Republic (the),"Salavan, Champasak, Attapu, Savannakhet, Xekong provinces",3,LAO
2013,Epidemic,Lao People's Democratic Republic (the),,77,LAO
2013,Transport accident,Lao People's Democratic Republic (the),Near Pakse (Champasak),49,LAO
2013,Flood,Sri Lanka,"Central, Eastern, Northern provinces",52,LKA
2013,Flood,Sri Lanka,"Western, Central, Southern, Sabaragamuwa, North Western provinces",58,LKA
2013,Storm,Sri Lanka,"Central, Eastern, North Central, North Western, Northern, Sabaragamuwa, Southern, Uva, Western provinces",7,LKA
2013,Flood,Myanmar,"Kayin, Mon, Rakhine, Taninthayi, Ayeyawaddy province",7,MMR
2013,Landslide,Myanmar,"Kalaw area (Tuanggyi district, Shan (S) province)",16,MMR
2013,Transport accident,Myanmar,Between Rangoon and Thandwe,14,MMR
2013,Transport accident,Myanmar,Bago region,11,MMR
2013,Transport accident,Myanmar,Pauktaw (Rakhine state),150,MMR
2013,Transport accident,Myanmar,Rakhine state,10,MMR
2013,Miscellaneous accident,Myanmar,Rangoun,13,MMR
2013,Flood,Malaysia,"Kuala Lumpur, Pahang, Terengganu, Johor, Kelantan provinces",4,MYS
2013,Transport accident,Malaysia,Genting Highlands region,37,MYS
2013,Transport accident,Malaysia,Borneo,23,MYS
2013,Transport accident,Malaysia,Johor state,40,MYS
2013,Transport accident,Nepal,,15,NPL
2013,Earthquake,Pakistan,"Mashkhel area (Chagai district, Balochistan province), Washuk area (Kharan district, Balochistan province), Karachi Central District, Karachi East District, Karachi South District, Karachi West District districts (Sindh province)",41,PAK
2013,Earthquake,Pakistan,"Awaran District, Chagai District, Gwadar District, Kech District, Khuzdar District, Panjgur District districts (Balochistan province)",399,PAK
2013,Earthquake,Pakistan,Awaran District district (Balochistan province),22,PAK
2013,Flood,Pakistan,"Punjab, Jammu and Kasjmir, North-West Frontier provinces",34,PAK
2013,Flood,Pakistan,"Bolan District, Jaffarabad District, Jhal Magsi District, Kalat District, Kech District, Khuzdar District, Lasbela District, Loralai District, Mastung District, Nasirabad District, Quetta District, Sibi District districts (Balochistan province), Chitral District (North-West Frontier province), Bahawalpur District, Chakwal District, Dera Ghazi Khan District, Gujranwala District, Jhang District, Kasur District, Khanewal District, Layyah District, Mandi Bahauddin District, Mianwali District, Muzaffargarh District, Narowal District, Rahim Yar Khan District, Rajanpur District, Sahiwal District, Sheikhupura District, Sialkot District, Toba Tek Singh District, Vehari District districts (Punjab province), Dadu District, Ghotki District, Hyderabad District, Jacobabad District, Khairpur District, Larkana District, Mirpur Khas District, Naushahro Feroze District, Nawabshah District, Shikarpur District, Sukkur District districts (Sindh province)",234,PAK
2013,Transport accident,Pakistan,,23,PAK
2013,Transport accident,Pakistan,Gujrat (Pendjab province),17,PAK
2013,Transport accident,Pakistan,Khyber Pakhtunkhwa province,17,PAK
2013,Transport accident,Pakistan,Forward Kahuta (Kashmir),10,PAK
2013,Earthquake,Philippines (the),"Catigbian village (Bohol district, Region VII (Central Visayas) province), Cebu, Siquijor, Negros Oriental districts (Region VII (Central Visayas) province), Negros Occidental, Iloilo, Guimaras districts (Region VI (Western Visayas) province)",230,PHL
2013,Flood,Philippines (the),"Olongapo City area (Zambales district, Region III (Central Luzon) province), Busuanga area (Palawan district, Region IV province)",33,PHL
2013,Storm,Philippines (the),"Region III (Central Luzon), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",7,PHL
2013,Storm,Philippines (the),"Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) provinces",18,PHL
2013,Storm,Philippines (the),"Mindoro Oriental district (Region IV (Southern Tagalog) province), Leyte district (Region VIII (Eastern Visayas) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province), Bukidnon, Lanao del Norte districts (Region X (Northern Mindanao) province), North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Agusan del Norte district (Region XIII (Caraga) province), Maguindanao district (Autonomous region in Muslim Mindanao (ARMM) province), Region VII (Central Visayas), Region XI (Davao Region) provinces",6,PHL
2013,Transport accident,Philippines (the),Near Manille,22,PHL
2013,Transport accident,Philippines (the),Near Cebu,137,PHL
2013,Flood,"Palestine, State of","Jib, Bir Nabala, Nabi Samuel villages (Al Quds (Jerusalem) province), Abu Qash village (Ramallah province), Jericho city (Ariha (Jericho) province), Masafer Yatta area (Al Khalil (Hebron) province), Tubas, Al Hadidiya cities (Tubas province), Gaza, Jabalya provinces",5,PSE
2013,Flood,Saudi Arabia,"Riyad, Northern Frontier provinces",15,SAU
2013,Flood,Thailand,Mae Sot district (Tak province),,THA
2013,Flood,Thailand,"Ang Thong, Chachoengsao, Chainat, Chanthaburi, Chian Rai, Nahkon Nayok, Nakhon Ratchasima, Nakhon Sawan, Pathum Thani, Prachinburi, Phangnga, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Prachuap Khilikhan, Sa Kaeo, Sakon Nakhon, Si Saket, Surin, Tak, Ubon Ratchathani provinces",61,THA
2013,Flood,Thailand,"Nakhon Si Thammarat, Songkhla, Narathiwat, Phatthalung, Trang provinces",23,THA
2013,Transport accident,Thailand,,19,THA
2013,Transport accident,Thailand,,20,THA
2013,Transport accident,Thailand,Phetchabun province ,29,THA
2013,Transport accident,Thailand,"Near Phuket, South Thailand",10,THA
2013,Miscellaneous accident,Thailand,,42,THA
2013,Extreme temperature ,Tajikistan,"Alichur, Bulunkul, Karakul, Rangkul, Tokhtamish, Kuhnakurgan, Modiyon, Chechtube, Chichekdeh, Shaimok, Bashgunbez villages (Murgabskiy district, Badakhshoni Kuni province)",,TJK
2013,Landslide,Turkey,Sirnak province,7,TUR
2013,Transport accident,Turkey,Near Ezine (Canakkale province),18,TUR
2013,Miscellaneous accident,Turkey,Hatay province,10,TUR
2013,Earthquake,Taiwan (Province of China),Taiwan Sheng province,4,TWN
2013,Storm,Taiwan (Province of China),"Bailan village (Xinzhu Xian area, Taiwan Sheng province)",3,TWN
2013,Storm,Taiwan (Province of China),Taiwan Sheng province,2,TWN
2013,Storm,Taiwan (Province of China),Taiwan Sheng province,,TWN
2011,Flood,Viet Nam,Lao Cai province,24,VNM
2011,Flood,Viet Nam,"An Giang, Dong Thap, Long An, Can Tho city, Vinh Long, Hau Giang, Kien Giang provinces",85,VNM
2011,Flood,Viet Nam,"Quang Tri, Quang Binh, Thua Thien-Hue, Quang Nam provinces",13,VNM
2011,Storm,Viet Nam,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai, Binh Dinh, Da Nang City, Gia Lai, Ha Tinh, Kon Tum, Nghe An, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue provinces",,VNM
2011,Industrial accident,Viet Nam,Tan Dan ,17,VNM
2011,Transport accident,Yemen,"Gulf of Aden, Lahij province",40,YEM
2011,Transport accident,Yemen,Gulf of Aden,35,YEM
2012,Storm,Viet Nam,"Bac Kan, Cao Bang, Ha Giang, Lang Son, Tuyen Quang provinces",10,VNM
2012,Storm,Viet Nam,"Yen Bai, Vinh Phuc, Quang Ninh, Hai Phong City provinces",17,VNM
2012,Storm,Viet Nam,"Nghe An, Thanh Hoa, Ninh Binh, Nam Dinh, Thai Binh, Hai Phong City provinces",11,VNM
2012,Complex Disasters,Yemen,"Sana\'a, Hajjah, Al Baida",,YEM
2012,Flood,Viet Nam,"Ninh Binh, Ha Tinh, Thanh Hoa, Nghe An provinces",34,VNM
2012,Transport accident,Viet Nam,Krong Pak district,35,VNM
2012,Transport accident,Yemen,Hajjah province,15,YEM
2013,Flood,Viet Nam,"Lao Cai, Ha Giang, Lai Chau provinces",23,VNM
2013,Flood,Viet Nam,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Da Nang City, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Ha Tinh, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Nghe An, Ninh Binh, Phu Tho, Quang Binh, Quang Nam, Quang Ninh, Quang Tri, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien - Hue, Tuyen Quang, Vinh Phuc, Yen Bai provinces",29,VNM
2013,Flood,Yemen,"Taizz, Dhamar, Al Mahwit, Sana'a, Ibb, Hajjah, Al Hudaydah, Shabwah, Abyan provinces",40,YEM
2013,Flood,Viet Nam,"Lao Cai, Son La, Quang Ninh, Tuyen Quang provinces",5,VNM
2013,Flood,Viet Nam,"An Giang, Ba Ria-Vung Tau, Bac Lieu, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Can Tho City, Da Nang City, Dak Lak, Dak Nong, Dong Nai, Dong Thap, Gia Lai, Ha Tinh, Hau Giang, Ho Chi Minh City, Khanh Hoa, Kien Giang, Kon Tum, Lam Dong, Long An, Ninh Thuan, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Soc Trang, Tay Ninh, Thua Thien - Hue, Tien Giang, Tra Vinh, Vinh Long provinces",30,VNM
2013,Flood,Viet Nam,"Dak Lak, Quang Tri, Quang Ngai, Quang Nam, Kon Tum provinces",7,VNM
2013,Flood,Viet Nam,"Quang Ngai, Binh Dinh, Quang Nam, Da Nang City, Phu Yen, Gia Lai, Kon Tum provinces",47,VNM
2013,Storm,Viet Nam,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai provinces",7,VNM
2013,Storm,Viet Nam,"Binh Dinh, Quang Binh, Quang Nam, Quang Ngai, Ha Tinh, Quang Tri, Thua Thien - Hue, Khanh Hoa, Nghe An, Da Nang City, Phu Yen, Thanh Hoa provinces",31,VNM
2013,Storm,Viet Nam,"Da Nang City, Quang Nam, Thua Thien - Hue, Quang Ngai provinces",20,VNM
2013,Storm,Viet Nam,"Quang Ninh, Hai Phong City, Bac Giang, Quang Ngai, Thanh Hoa, Nghe An, Ha Tinh, Quang Tri, Thua Thien - Hue, Da Nang City, Quang Nam provinces",16,VNM
2013,Miscellaneous accident,Viet Nam,Ho Chi Minh,10,VNM
2013,Industrial accident,Viet Nam,Thanh Ba district (Phu Tho province),24,VNM
2013,Transport accident,Yemen,Sanaa,12,YEM
2013,Miscellaneous accident,Yemen,Abs (Hija province),10,YEM
2013,Miscellaneous accident,Yemen,Mahwit province,14,YEM
2013,Extreme temperature ,Armenia,Yerevan province,,ARM
2013,Storm,China,"Jiangxi Sheng, Guangxi Zhuangzu Zizhiqu provinces",12,CHN
2013,Earthquake,China,"Badong area (Enshi Tujia and Miao district, Hubei Sheng province), Zigui, Xingshan areas (Yichang district, Hubei Sheng province)",,CHN
2013,Earthquake,China,Dali Bai district (Yunnan Sheng province),,CHN
2013,Earthquake,China,"Keping Xian area (Aksu district, Xinjiang Uygur Zizhiqu province)",,CHN
2013,Flood,China,"Hainan Sheng, Yunnan Sheng, Sichuan Sheng provinces",,CHN
2013,Landslide,China,"Sinan area (Tongren district, Guizhou Sheng province)",11,CHN
2013,Extreme temperature ,China,Shanghai Shi province,40,CHN
2013,Industrial accident,China,Jilin,36,CHN
2013,Drought,China,"Yunnan Sheng, Sichuan Sheng, Shaanxi Sheng, Qinghai Sheng, Shanxi Sheng, Gansu Sheng provinces",,CHN
2014,Storm,China,"Fengjie Xian area (Name Unknown (13003) district, Chongqing Shi province)",27,CHN
2014,Storm,China,"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Yunnan Sheng provinces",71,CHN
2014,Storm,China,"Fujian Sheng, Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Guizhou Sheng provinces",21,CHN
2014,Storm,China,"Xinjiang Uygur Zizhiqu, Shaanxi Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Jiangxi Sheng, Qinghai Sheng provinces",9,CHN
2014,Flood,Afghanistan,Guzargah-e-Nur district (Baghlan province),81,AFG
2014,Storm,China,"Anhui Sheng, Chongqing Shi, Fujian Sheng, Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hainan Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Liaoning Sheng, Ningxia Huizu Zizhiqu, Qinghai Sheng, Shaanxi Sheng, Shandong Sheng, Sichuan Sheng, Xinjiang Uygur Zizhiqu, Yunnan Sheng, Zhejiang Sheng provinces",11,CHN
2014,Storm,China,"Shaanxi Sheng, Shanxi Sheng, Guizhou Sheng, Heilongjiang Sheng provinces",5,CHN
2014,Flood,China,"Guizhou Sheng, Jiangxi Sheng, Hunan Sheng, Sichuan Sheng provinces",66,CHN
2014,Flood,Afghanistan,"Badakhshan, Jawzjan, Faryab, Sar-e-Pul, Badghis, Balkh, Baghlan, Samangan, Kabul, Ghor, Logar, Takhar, Bamyan, Hirat, Parwan, Nangarhar, Khost, Kandahar, Panjsher, Hilmand, Kapisa, Nimroz, Laghman, Kunduz, Daykundi, Nuristan, Kunar provinces",431,AFG
2014,Earthquake,China,"Longtoushanzhen, Zhaotong cities (Ludian area, Zhaotong district, Yunnan Sheng province), Qiaojia area (Zhaotong district, Yunnan Sheng province), Huize area (Qujing district, Yunnan Sheng province), Guizhou Sheng, Sichuan Sheng provinces ",731,CHN
2014,Flood,China,"Fujian Sheng, Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Sichuan Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",27,CHN
2014,Flood,China,"Guizhou Sheng, Yunnan Sheng provinces",23,CHN
2014,Flood,China,"Sichuan Sheng, Shaanxi Sheng, Hubei Sheng, Chongqing Shi, Guizhou Sheng provinces",50,CHN
2014,Flood,China,"Guangxi Zhuangzu Zizhiqu, Yunnan Sheng, Guizhou Sheng provinces",24,CHN
2014,Flood,Georgia,"Batumi, Kobouleti districts (Adjara Aut. Rep. province), Guria province",,GEO
2014,Flood,Bangladesh,"Lalmonirhat, Kurigram, Nilphamari, Rangpur, Gaibandha districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Sunamganj, Sylhet districts (Sylhet province), Sherpur, Netrakona, Munshiganj, Jamalpur, Tangail, Faridpur, Manikganj, Rajbari districts (Dhaka province), Bhola, Patuakhali, Barguna districts (Barisal province), Feni, Chittagong districts (Chittagong province) ",59,BGD
2014,Flood,China,"Guizhou Sheng, Hebei Sheng, Qinghai Sheng, Ningxia Huizu Zizhiqu, Hunan Sheng, Sichuan Sheng, Nei Mongol Zizhiqu, Shaanxi Sheng, Gansu Sheng provinces",10,CHN
2014,Storm,Afghanistan,"Jawzjan, Faryab, Kunduz, Kabul provinces",63,AFG
2014,Storm,China,"Jiangxi Sheng, Hubei Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hainan Sheng provinces",10,CHN
2014,Storm,China,"Anhui Sheng, Beijing Shi, Chongqing Shi, Fujian Sheng, Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hainan Sheng, Hebei Sheng, Heilongjiang Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Jilin Sheng, Liaoning Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Qinghai Sheng, Shaanxi Sheng, Shandong Sheng, Shanghai Shi, Shanxi Sheng, Sichuan Sheng, Tianjin Shi, Xinjiang Uygur Zizhiqu, Xizang Zizhiqu, Yunnan Sheng, Zhejiang Sheng provinces",128,CHN
2014,Storm,China,"Shantou district (Guangdong Sheng province), Fujian Sheng province",,CHN
2014,Storm,China,"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu provinces",9,CHN
2014,Transport accident,United Arab Emirates (the),Ruwayyah (DubaÃ¯),15,ARE
2014,Storm,Bangladesh,"Sunamganj district (Sylhet province), Tangail, Netrakona districts (Dhaka province), Naogaon district (Rajshahi province)",16,BGD
2014,Storm,Bangladesh,Faridpur district (Dhaka province),4,BGD
2014,Transport accident,Bangladesh,"Surma river, Chhatak",41,BGD
2014,Transport accident,Bangladesh,"Kalagasia, Munshiganj",70,BGD
2014,Transport accident,Bangladesh,Near Dakka,130,BGD
2014,Flood,Bangladesh,"Bogra, Naogaon districts (Rajshahi province), Jamalpur, Mymensing, Netrokona districts (Dhaka province), Kurigram Lalmonirhat, Gaibandha districts (Rangpur province), Brahmanbaria district (Chittagong province)",,BGD
2014,Storm,China,"Sichuan Sheng, Chongqing Shi, Anhui Sheng, Hubei Sheng, Guizhou Sheng provinces",3,CHN
2014,Storm,China,"Xishui Xian (Zunyi district, Guizhou Sheng province)",20,CHN
2014,Storm,China,"Sichuan Sheng, Xinjiang Uygur Zizhiqu, Henan Sheng provinces",1,CHN
2014,Storm,China,"Heilongjiang Sheng, Jilin Sheng, Nei Mongol Zizhiqu provinces",,CHN
2014,Earthquake,China,"Yutian Xian area (Khotan district, Xinjiang Uygur Zizhiqu province)",,CHN
2014,Earthquake,China,"Xiluoduzhen village (Zhaotong district, Yunnan Sheng province)",,CHN
2014,Earthquake,China,"Yingjiang area (Dehong Dai and Jingpo district, Yunnan Sheng province)",,CHN
2014,Earthquake,China,"Yingjiang area (Dehong Dai and Jingpo district, Yunnan Sheng province)",,CHN
2014,Earthquake,China,"Yongping Xian area (Dali Bai district, Yunnan Sheng province)",1,CHN
2014,Earthquake,China,Sichuan Sheng province,5,CHN
2014,Earthquake,China,"Weiyuan Xian area (Dingxi district, Gansu Sheng province)",1,CHN
